tmpID	Field ID	Description	abbreviation	machine_readable_name	name	description	alternative_names	group	subgroup
cholesteryl esters to total lipids in idl	23611	Cholesteryl Esters to Total Lipids in IDL percentage	IDL-CE %	IDL_CE_pct	IDL-CE %	Cholesteryl esters to total lipids ratio in IDL		Relative lipoprotein lipid concentrations	IDL ratios
cholesteryl esters to total lipids in large hdl	23636	Cholesteryl Esters to Total Lipids in Large HDL percentage	L-HDL-CE %	L_HDL_CE_pct	L-HDL-CE %	Cholesteryl esters to total lipids ratio in large HDL		Relative lipoprotein lipid concentrations	Large HDL ratios
cholesteryl esters to total lipids in large ldl	23616	Cholesteryl Esters to Total Lipids in Large LDL percentage	L-LDL-CE %	L_LDL_CE_pct	L-LDL-CE %	Cholesteryl esters to total lipids ratio in large LDL		Relative lipoprotein lipid concentrations	Large LDL ratios
cholesteryl esters to total lipids in large vldl	23591	Cholesteryl Esters to Total Lipids in Large VLDL percentage	L-VLDL-CE %	L_VLDL_CE_pct	L-VLDL-CE %	Cholesteryl esters to total lipids ratio in large VLDL		Relative lipoprotein lipid concentrations	Large VLDL ratios
cholesteryl esters to total lipids in medium hdl	23641	Cholesteryl Esters to Total Lipids in Medium HDL percentage	M-HDL-CE %	M_HDL_CE_pct	M-HDL-CE %	Cholesteryl esters to total lipids ratio in medium HDL		Relative lipoprotein lipid concentrations	Medium HDL ratios
cholesteryl esters to total lipids in medium ldl	23621	Cholesteryl Esters to Total Lipids in Medium LDL percentage	M-LDL-CE %	M_LDL_CE_pct	M-LDL-CE %	Cholesteryl esters to total lipids ratio in medium LDL		Relative lipoprotein lipid concentrations	Medium LDL ratios
cholesteryl esters to total lipids in medium vldl	23596	Cholesteryl Esters to Total Lipids in Medium VLDL percentage	M-VLDL-CE %	M_VLDL_CE_pct	M-VLDL-CE %	Cholesteryl esters to total lipids ratio in medium VLDL		Relative lipoprotein lipid concentrations	Medium VLDL ratios
cholesteryl esters to total lipids in small hdl	23646	Cholesteryl Esters to Total Lipids in Small HDL percentage	S-HDL-CE %	S_HDL_CE_pct	S-HDL-CE %	Cholesteryl esters to total lipids ratio in small HDL		Relative lipoprotein lipid concentrations	Small HDL ratios
cholesteryl esters to total lipids in small ldl	23626	Cholesteryl Esters to Total Lipids in Small LDL percentage	S-LDL-CE %	S_LDL_CE_pct	S-LDL-CE %	Cholesteryl esters to total lipids ratio in small LDL		Relative lipoprotein lipid concentrations	Small LDL ratios
cholesteryl esters to total lipids in small vldl	23601	Cholesteryl Esters to Total Lipids in Small VLDL percentage	S-VLDL-CE %	S_VLDL_CE_pct	S-VLDL-CE %	Cholesteryl esters to total lipids ratio in small VLDL		Relative lipoprotein lipid concentrations	Small VLDL ratios
cholesteryl esters to total lipids in very large hdl	23631	Cholesteryl Esters to Total Lipids in Very Large HDL percentage	XL-HDL-CE %	XL_HDL_CE_pct	XL-HDL-CE %	Cholesteryl esters to total lipids ratio in very large HDL		Relative lipoprotein lipid concentrations	Very large HDL ratios
cholesteryl esters to total lipids in very large vldl	23586	Cholesteryl Esters to Total Lipids in Very Large VLDL percentage	XL-VLDL-CE %	XL_VLDL_CE_pct	XL-VLDL-CE %	Cholesteryl esters to total lipids ratio in very large VLDL		Relative lipoprotein lipid concentrations	Very large VLDL ratios
cholesteryl esters to total lipids in very small vldl	23606	Cholesteryl Esters to Total Lipids in Very Small VLDL percentage	XS-VLDL-CE %	XS_VLDL_CE_pct	XS-VLDL-CE %	Cholesteryl esters to total lipids ratio in very small VLDL		Relative lipoprotein lipid concentrations	Very small VLDL ratios
citrate	23473	Citrate	Citrate	Citrate	Citrate	Citrate		Glycolysis related metabolites	Glycolysis related metabolites
clinical ldl cholesterol	23404	Clinical LDL Cholesterol	Clinical LDL-C	Clinical_LDL_C	Clinical LDL-C	Clinical LDL cholesterol		Cholesterol	Cholesterol
concentration of chylomicrons and extremely large vldl particles	23481	Concentration of Chylomicrons and Extremely Large VLDL Particles	XXL-VLDL-P	XXL_VLDL_P	XXL-VLDL-P	Concentration of chylomicrons and extremely large VLDL particles		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
concentration of hdl particles	23430	Concentration of HDL Particles	HDL-P	HDL_P	HDL-P	Concentration of HDL particles		Lipoprotein particle concentrations	Lipoprotein particle concentrations
concentration of idl particles	23523	Concentration of IDL Particles	IDL-P	IDL_P	IDL-P	Concentration of IDL particles		Lipoprotein subclasses	IDL
concentration of large hdl particles	23558	Concentration of Large HDL Particles	L-HDL-P	L_HDL_P	L-HDL-P	Concentration of large HDL particles		Lipoprotein subclasses	Large HDL
concentration of large ldl particles	23530	Concentration of Large LDL Particles	L-LDL-P	L_LDL_P	L-LDL-P	Concentration of large LDL particles		Lipoprotein subclasses	Large LDL
concentration of large vldl particles	23495	Concentration of Large VLDL Particles	L-VLDL-P	L_VLDL_P	L-VLDL-P	Concentration of large VLDL particles		Lipoprotein subclasses	Large VLDL
concentration of ldl particles	23429	Concentration of LDL Particles	LDL-P	LDL_P	LDL-P	Concentration of LDL particles		Lipoprotein particle concentrations	Lipoprotein particle concentrations
concentration of medium hdl particles	23565	Concentration of Medium HDL Particles	M-HDL-P	M_HDL_P	M-HDL-P	Concentration of medium HDL particles		Lipoprotein subclasses	Medium HDL
concentration of medium ldl particles	23537	Concentration of Medium LDL Particles	M-LDL-P	M_LDL_P	M-LDL-P	Concentration of medium LDL particles		Lipoprotein subclasses	Medium LDL
concentration of medium vldl particles	23502	Concentration of Medium VLDL Particles	M-VLDL-P	M_VLDL_P	M-VLDL-P	Concentration of medium VLDL particles		Lipoprotein subclasses	Medium VLDL
concentration of small hdl particles	23572	Concentration of Small HDL Particles	S-HDL-P	S_HDL_P	S-HDL-P	Concentration of small HDL particles		Lipoprotein subclasses	Small HDL
concentration of small ldl particles	23544	Concentration of Small LDL Particles	S-LDL-P	S_LDL_P	S-LDL-P	Concentration of small LDL particles		Lipoprotein subclasses	Small LDL
concentration of small vldl particles	23509	Concentration of Small VLDL Particles	S-VLDL-P	S_VLDL_P	S-VLDL-P	Concentration of small VLDL particles		Lipoprotein subclasses	Small VLDL
concentration of very large hdl particles	23551	Concentration of Very Large HDL Particles	XL-HDL-P	XL_HDL_P	XL-HDL-P	Concentration of very large HDL particles		Lipoprotein subclasses	Very large HDL
concentration of very large vldl particles	23488	Concentration of Very Large VLDL Particles	XL-VLDL-P	XL_VLDL_P	XL-VLDL-P	Concentration of very large VLDL particles		Lipoprotein subclasses	Very large VLDL
concentration of very small vldl particles	23516	Concentration of Very Small VLDL Particles	XS-VLDL-P	XS_VLDL_P	XS-VLDL-P	Concentration of very small VLDL particles		Lipoprotein subclasses	Very small VLDL
concentration of vldl particles	23428	Concentration of VLDL Particles	VLDL-P	VLDL_P	VLDL-P	Concentration of VLDL particles		Lipoprotein particle concentrations	Lipoprotein particle concentrations
creatinine	23478	Creatinine	Creatinine	Creatinine	Creatinine	Creatinine		Fluid balance	Fluid balance
degree of unsaturation	23443	Degree of Unsaturation	Unsaturation	Unsaturation	Unsaturation	Degree of unsaturation		Fatty acids	Fatty acids
docosahexaenoic acid	23450	Docosahexaenoic Acid	DHA	DHA	DHA	Docosahexaenoic acid		Fatty acids	Fatty acids
docosahexaenoic acid to total fatty acids	23457	Docosahexaenoic Acid to Total Fatty Acids percentage	DHA %	DHA_pct	DHA %	Ratio of docosahexaenoic acid to total fatty acids		Fatty acids	Fatty acid ratios
free cholesterol in chylomicrons and extremely large vldl	23486	Free Cholesterol in Chylomicrons and Extremely Large VLDL	XXL-VLDL-FC	XXL_VLDL_FC	XXL-VLDL-FC	Free cholesterol in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
free cholesterol in hdl	23422	Free Cholesterol in HDL	HDL-FC	HDL_FC	HDL-FC	Free cholesterol in HDL		Free cholesterol	Free cholesterol
free cholesterol in idl	23528	Free Cholesterol in IDL	IDL-FC	IDL_FC	IDL-FC	Free cholesterol in IDL		Lipoprotein subclasses	IDL
free cholesterol in large hdl	23563	Free Cholesterol in Large HDL	L-HDL-FC	L_HDL_FC	L-HDL-FC	Free cholesterol in large HDL		Lipoprotein subclasses	Large HDL
free cholesterol in large ldl	23535	Free Cholesterol in Large LDL	L-LDL-FC	L_LDL_FC	L-LDL-FC	Free cholesterol in large LDL		Lipoprotein subclasses	Large LDL
free cholesterol in large vldl	23500	Free Cholesterol in Large VLDL	L-VLDL-FC	L_VLDL_FC	L-VLDL-FC	Free cholesterol in large VLDL		Lipoprotein subclasses	Large VLDL
free cholesterol in ldl	23421	Free Cholesterol in LDL	LDL-FC	LDL_FC	LDL-FC	Free cholesterol in LDL		Free cholesterol	Free cholesterol
free cholesterol in medium hdl	23570	Free Cholesterol in Medium HDL	M-HDL-FC	M_HDL_FC	M-HDL-FC	Free cholesterol in medium HDL		Lipoprotein subclasses	Medium HDL
free cholesterol in medium ldl	23542	Free Cholesterol in Medium LDL	M-LDL-FC	M_LDL_FC	M-LDL-FC	Free cholesterol in medium LDL		Lipoprotein subclasses	Medium LDL
free cholesterol in medium vldl	23507	Free Cholesterol in Medium VLDL	M-VLDL-FC	M_VLDL_FC	M-VLDL-FC	Free cholesterol in medium VLDL		Lipoprotein subclasses	Medium VLDL
free cholesterol in small hdl	23577	Free Cholesterol in Small HDL	S-HDL-FC	S_HDL_FC	S-HDL-FC	Free cholesterol in small HDL		Lipoprotein subclasses	Small HDL
free cholesterol in small ldl	23549	Free Cholesterol in Small LDL	S-LDL-FC	S_LDL_FC	S-LDL-FC	Free cholesterol in small LDL		Lipoprotein subclasses	Small LDL
free cholesterol in small vldl	23514	Free Cholesterol in Small VLDL	S-VLDL-FC	S_VLDL_FC	S-VLDL-FC	Free cholesterol in small VLDL		Lipoprotein subclasses	Small VLDL
free cholesterol in very large hdl	23556	Free Cholesterol in Very Large HDL	XL-HDL-FC	XL_HDL_FC	XL-HDL-FC	Free cholesterol in very large HDL		Lipoprotein subclasses	Very large HDL
free cholesterol in very large vldl	23493	Free Cholesterol in Very Large VLDL	XL-VLDL-FC	XL_VLDL_FC	XL-VLDL-FC	Free cholesterol in very large VLDL		Lipoprotein subclasses	Very large VLDL
free cholesterol in very small vldl	23521	Free Cholesterol in Very Small VLDL	XS-VLDL-FC	XS_VLDL_FC	XS-VLDL-FC	Free cholesterol in very small VLDL		Lipoprotein subclasses	Very small VLDL
free cholesterol in vldl	23420	Free Cholesterol in VLDL	VLDL-FC	VLDL_FC	VLDL-FC	Free cholesterol in VLDL		Free cholesterol	Free cholesterol
free cholesterol to total lipids in chylomicrons and extremely large vldl	23582	Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	XXL-VLDL-FC %	XXL_VLDL_FC_pct	XXL-VLDL-FC %	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL		Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios
